"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","678","Should update cart badge correctly for Sauce Labs Bolt T-Shirt + Sauce Labs Fleece Jacket","UC-2: Cart State Logic","2026-07-23","passed","2026-07-23","","","",""
"","8699","Should sort items by price low to high correctly","UC-1: Sorting Validation","2026-07-23","passed","2026-07-23","","","",""
"","736","Should sort items A-Z correctly","Additional Bonus Sorting Coverage","2026-07-23","passed","2026-07-23","","","",""
"","1237","Should update cart badge correctly for Sauce Labs Backpack + Sauce Labs Bike Light","UC-2: Cart State Logic","2026-07-23","passed","2026-07-23","","","",""
"","2752","Should display items in cart after adding from inventory","Cart flow","2026-07-23","passed","2026-07-23","","","",""
"","1087","Should return to inventory with continue shopping button","Cart flow","2026-07-23","passed","2026-07-23","","","",""
"","1920","Should remove item directly from cart page","Cart flow","2026-07-23","passed","2026-07-23","","","",""
"","687","Should sort items Z-A correctly","Additional Bonus Sorting Coverage","2026-07-23","passed","2026-07-23","","","",""
"","1218","Should update cart badge correctly for Sauce Labs Backpack + Sauce Labs Bike Light","UC-2: Cart State Logic","2026-07-23","passed","2026-07-23","","","",""
"","1743","Should sort items by price high to low correctly","Additional Bonus Sorting Coverage","2026-07-23","passed","2026-07-23","","","",""
"","935","Should remove item directly from cart page","Cart flow","2026-07-23","passed","2026-07-23","","","",""
"","733","Should sort items by price high to low correctly","Additional Bonus Sorting Coverage","2026-07-23","passed","2026-07-23","","","",""
"","10515","Should hide cart badge when all items removed","Cart flow","2026-07-23","passed","2026-07-23","","","",""
"","1718","Should sort items by price low to high correctly","UC-1: Sorting Validation","2026-07-23","passed","2026-07-23","","","",""
"","2777","Should require postal code to proceed","Checkout flow","2026-07-23","passed","2026-07-23","","","",""
"","812","Should sort items Z-A correctly","Additional Bonus Sorting Coverage","2026-07-23","passed","2026-07-23","","","",""
"","6875","Should apply the selected sort option to the dropdown value","Additional Bonus Sorting Coverage","2026-07-23","passed","2026-07-23","","","",""
"","3308","Should complete checkout process","Checkout flow","2026-07-23","passed","2026-07-23","","","",""
"","1016","Should return to inventory with continue shopping button","Cart flow","2026-07-23","passed","2026-07-23","","","",""
"","782","Should display items in cart after adding from inventory","Cart flow","2026-07-23","passed","2026-07-23","","","",""
"","2757","Should sort items A-Z correctly","Additional Bonus Sorting Coverage","2026-07-23","passed","2026-07-23","","","",""
"","1608","Should update cart badge correctly for Sauce Labs Bolt T-Shirt + Sauce Labs Fleece Jacket","UC-2: Cart State Logic","2026-07-23","passed","2026-07-23","","","",""
"","3846","Should hide cart badge when all items removed","Cart flow","2026-07-23","passed","2026-07-23","","","",""
"","1091","Should require postal code to proceed","Checkout flow","2026-07-23","passed","2026-07-23","","","",""
"","9928","Should apply the selected sort option to the dropdown value","Additional Bonus Sorting Coverage","2026-07-23","passed","2026-07-23","","","",""
"","11139","Should complete checkout process","Checkout flow","2026-07-23","passed","2026-07-23","","","",""
